Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
417,0,0,0,19495,0,2309
418,0,0,0,19495,0,2309
419,0,0,0,19495,0,2309
420,0,0,0,19495,0,2309
421,0,0,0,19495,0,2309
422,0,0,0,19495,0,2309
423,0,0,0,19495,0,2309
424,0,0,0,19495,0,2309
425,0,0,0,19495,0,2309
426,0,0,0,19495,0,2309
427,0,0,0,19495,0,2309
428,0,0,0,19495,0,2309
429,0,0,0,19495,0,2309
430,0,0,0,19495,0,2309
431,0,0,0,19495,0,2309
432,0,0,0,19495,0,2309
433,0,0,0,19495,0,2309
434,0,0,0,19495,0,2309
435,0,0,0,19495,0,2309
436,0,0,0,19495,0,2309
437,0,0,0,19495,0,2309
438,0,0,0,19495,0,2309
439,0,0,0,19495,0,2309
440,0,0,0,19495,0,2309
441,0,0,0,19495,0,2309
442,0,0,0,19495,0,2309
443,0,0,0,19495,0,2309
444,0,0,0,19495,0,2309
445,0,0,0,19495,0,2309
446,0,0,0,19495,0,2309
447,0,0,0,19495,0,2309
448,0,0,0,19495,0,2309
449,0,0,0,19495,0,2309
450,0,0,0,19495,0,2309
451,0,0,0,19495,0,2309
452,0,0,0,19495,0,2309
453,0,0,0,19495,0,2309
454,0,0,0,19495,0,2309
455,0,0,0,19495,0,2309
456,0,0,0,19495,0,2309
457,0,0,0,19495,0,2309
458,0,0,0,19495,0,2309
459,0,0,0,19495,0,2309
460,0,0,0,19495,0,2309
461,0,0,0,19495,0,2309
462,0,0,0,19495,0,2309
463,0,0,0,19495,0,2309
464,0,0,0,19495,0,2309
465,0,0,0,19495,0,2309
466,0,0,0,19495,0,2309
467,0,0,0,19495,0,2309
468,0,0,0,19495,0,2309
469,0,0,0,19495,0,2309
470,0,0,0,19495,0,2309
471,0,0,0,19495,0,2309
472,0,0,0,19495,0,2309
473,0,0,0,19495,0,2309
474,0,0,0,19495,0,2309
475,0,0,0,19495,0,2309
476,0,0,0,19495,0,2309
477,0,0,0,19495,0,2309
478,0,0,0,19495,0,2309
479,0,0,0,19495,0,2309
480,0,0,0,19495,0,2309
481,0,0,0,19495,0,2309
482,0,0,0,19495,0,2309
483,0,0,0,19495,0,2309
484,0,0,0,19495,0,2309
485,0,0,0,19495,0,2309
486,0,0,0,19495,0,2309
487,0,0,0,19495,0,2309
488,0,0,0,19495,0,2309
489,0,0,0,19495,0,2309
490,0,0,0,19495,0,2309
491,0,0,0,19495,0,2309
492,0,0,0,19495,0,2309
493,0,0,0,19495,0,2309
494,0,0,0,19495,0,2309
495,0,0,0,19495,0,2309
496,0,0,0,19495,0,2309
497,0,0,0,19495,0,2309
498,0,0,0,19495,0,2309
499,0,0,0,19495,0,2309
500,0,0,0,19495,0,2309
501,0,0,0,19495,0,2309
502,0,0,0,19495,0,2309
503,0,0,0,19495,0,2309
504,0,0,0,19495,0,2309
505,0,0,0,19495,0,2309
506,0,0,0,19495,0,2309
507,0,0,0,19495,0,2309
508,0,0,0,19495,0,2309
509,0,0,0,19495,0,2309
510,0,0,0,19495,0,2309
511,0,0,0,19495,0,2309
512,0,0,0,19495,0,2309
513,0,0,0,19495,0,2309
514,0,0,0,19495,0,2309
515,0,0,0,19495,0,2309
516,0,0,0,19495,0,2309
517,0,0,0,19495,0,2309
518,0,0,0,19495,0,2309
519,0,0,0,19495,0,2309
520,0,0,0,19495,0,2309
521,0,0,0,19495,0,2309
522,0,0,0,19495,0,2309
523,0,0,0,19495,0,2309
524,0,0,0,19495,0,2309
525,0,0,0,19495,0,2309
526,0,0,0,19495,0,2309
527,0,0,0,19495,0,2309
528,0,0,0,19495,0,2309
529,0,0,0,19495,0,2309
530,0,0,0,19495,0,2309
531,0,0,0,19495,0,2309
532,0,0,0,19495,0,2309
533,0,0,0,19495,0,2309
534,0,0,0,19495,0,2309
535,0,0,0,19495,0,2309
536,0,0,0,19495,0,2309
537,0,0,0,19495,0,2309
538,0,0,0,19495,0,2309
539,0,0,0,19495,0,2309
540,0,0,0,19495,0,2309
541,0,0,0,19495,0,2309
542,0,0,0,19495,0,2309
543,0,0,0,19495,0,2309
544,0,0,0,19495,0,2309
545,0,0,0,19495,0,2309
546,0,0,0,19495,0,2309
547,0,0,0,19495,0,2309
548,0,0,0,19495,0,2309
549,0,0,0,19495,0,2309
550,0,0,0,19495,0,2309
551,0,0,0,19495,0,2309
552,0,0,0,19495,0,2309
553,0,0,0,19495,0,2309
554,0,0,0,19495,0,2309
555,0,0,0,19495,0,2309
556,0,0,0,19495,0,2309
557,0,0,0,19495,0,2309
558,0,0,0,19495,0,2309
559,0,0,0,19495,0,2309
560,0,0,0,19495,0,2309
561,0,0,0,19495,0,2309
562,0,0,0,19495,0,2309
563,0,0,0,19495,0,2309
564,0,0,0,19495,0,2309
565,0,0,0,19495,0,2309
566,0,0,0,19495,0,2309
567,0,0,0,19495,0,2309
568,0,0,0,19495,0,2309
569,0,0,0,19495,0,2309
570,0,0,0,19495,0,2309
571,0,0,0,19495,0,2309
572,0,0,0,19495,0,2309
573,0,0,0,19495,0,2309
574,0,0,0,19495,0,2309
575,0,0,0,19495,0,2309
576,0,0,0,19495,0,2309
577,0,0,0,19495,0,2309
578,0,0,0,19495,0,2309
579,0,0,0,19495,0,2309
580,0,0,0,19495,0,2309
581,0,0,0,19495,0,2309
582,0,0,0,19495,0,2309
583,0,0,0,19495,0,2309
584,0,0,0,19495,0,2309
585,0,0,0,19495,0,2309
586,0,0,0,19495,0,2309
587,0,0,0,19495,0,2309
588,0,0,0,19495,0,2309
589,0,0,0,19495,0,2309
590,0,0,0,19495,0,2309
591,0,0,0,19495,0,2309
592,0,0,0,19495,0,2309
593,0,0,0,19495,0,2309
594,0,0,0,19495,0,2309
595,0,0,0,19495,0,2309
596,0,0,0,19495,0,2309
